airport,side,cancel_rate_cap_20250616_1025,cancel_rate_extension_20251026_1231,cancel_rate_interim_20250520_0615,cancel_rate_pre_20250101_0414,cancel_rate_stress_20250415_0519,delay15_rate_cap_20250616_1025,delay15_rate_extension_20251026_1231,delay15_rate_interim_20250520_0615,delay15_rate_pre_20250101_0414,delay15_rate_stress_20250415_0519,nas_delay_per_scheduled_op_cap_20250616_1025,nas_delay_per_scheduled_op_extension_20251026_1231,nas_delay_per_scheduled_op_interim_20250520_0615,nas_delay_per_scheduled_op_pre_20250101_0414,nas_delay_per_scheduled_op_stress_20250415_0519,ops_per_day_cap_20250616_1025,ops_per_day_extension_20251026_1231,ops_per_day_interim_20250520_0615,ops_per_day_pre_20250101_0414,ops_per_day_stress_20250415_0519,ops_per_day_change,cancel_rate_change,delay15_rate_change,nas_delay_per_scheduled_op_change
DFW,arr,0.023525623098500835,0.020195521241041587,0.0254161227154047,0.036186363792964846,0.04150308468872686,0.24668685939439175,0.23679842401911608,0.3115241324458956,0.22392345637823796,0.27315595635562595,3.39694404189866,3.6592139831644417,5.115412859007833,3.719294417584437,5.791131932301805,893.9318181818181,835.1194029850747,907.8518518518518,837.2788461538462,866.0285714285715,41.82328042328038,-0.016086961973322163,0.03836817609026966,-0.6757190732939717
DFW,dep,0.022985388344577414,0.018891867739052725,0.0254579576516666,0.03537394658889986,0.04065067476160623,0.3000190846316666,0.2886524693494617,0.3415246786955248,0.24492662199316806,0.3032158211521926,3.3857171915788045,2.6297408400357463,4.000775162172086,2.8804794599187122,3.6821196423268554,893.8484848484849,835.0746268656717,907.8148148148148,837.4807692307693,865.9142857142857,41.90052910052907,-0.015192717109939628,0.038308857543332187,0.318655519845231
DTW,arr,0.009153023075931417,0.024216067750057222,0.0035140027686082417,0.011252356912596557,0.003537735849056604,0.18535866076849683,0.2373334584349784,0.1677708912160718,0.1977423720472441,0.16711749788672867,2.221412917364961,3.0485236896314944,1.546906612714301,2.240496320175172,1.892772911051213,352.59090909090907,326.04477611940297,347.81481481481484,316.1730769230769,339.2,8.61481481481485,-2.3733080448362122e-05,0.0006533933293431382,-0.34586629833691207
DTW,dep,0.008806598505026205,0.024179145487017446,0.00308839190628328,0.010704619408204847,0.0032021572427740792,0.1918042733931435,0.24323055985733727,0.16889221237047325,0.19747317942885248,0.16662439766675122,3.2376707620929635,5.8079864450245,2.7657082002129925,3.89496092205699,3.776523131372714,352.6969696969697,325.92537313432837,347.77777777777777,316.1826923076923,339.0571428571429,8.720634920634893,-0.00011376533649079925,0.002267814703722032,-1.0108149311597217
EWR,arr,0.02670737222976029,0.03511792046823894,0.00455825177637753,0.013688781525896528,0.052177177177177174,0.2797230418922373,0.2851917930419269,0.25643097643097645,0.19573140507916145,0.4689108910891089,13.472207146087744,11.759252883456705,10.487062608928811,5.00040261122135,40.598442192192195,335.0,346.8059701492537,276.25925925925924,334.3557692307692,304.45714285714286,-28.197883597883617,-0.04761892540079964,-0.21247991465813243,-30.111379583263385
EWR,dep,0.02634256642170718,0.03552006905481226,0.004023065575968888,0.012625463748526071,0.0535496576948326,0.23181607059916395,0.24822123775003357,0.1775952605358826,0.18137597576604916,0.3163892191835117,5.611871113623516,6.535994820889081,5.400965535738233,3.8978746656696672,8.960142549001219,335.0378787878788,345.82089552238807,276.18518518518516,334.33653846153845,304.65714285714284,-28.471957671957682,-0.04952659211886371,-0.1387939586476291,-3.5591770132629863
FLL,arr,0.010544119763926874,0.023150224215246637,0.003977174476915096,0.013651386693490444,0.006338196603683329,0.2364793598836152,0.2979858839731451,0.24184027777777778,0.22851107226107226,0.20917077867372727,3.7861666906578377,6.2326793721973095,4.681653121217361,5.490300330507257,4.731523558957187,210.5151515151515,266.2686567164179,214.1851851851852,267.65384615384613,238.9142857142857,-24.72910052910052,-0.002361022126768233,0.03266949910405051,-0.04987043773982602
FLL,dep,0.009683573922747398,0.021896580764695976,0.003982683982683983,0.01314230313476247,0.005256241787122208,0.24402035623409668,0.3051489581539521,0.2320931849791377,0.23560018920787396,0.2118409991593611,5.162568846970733,4.902869013530964,5.6306493506493505,4.106682466156774,5.982558834070003,210.4469696969697,265.8358208955224,213.88888888888889,267.77884615384613,239.17142857142858,-25.282539682539692,-0.001273557804438225,0.020252185819776586,-0.35190948342065287
HNL,arr,0.0055560877478685695,0.011824803708258443,0.0047759836251989995,0.011477188374350482,0.0018099547511312218,0.15629515460938254,0.19634309783649243,0.16019195612431444,0.14244454713493532,0.11078875793291025,0.5207874317463359,0.91315864156655,0.6140550375255857,0.7640609832695712,0.34443438914027147,158.16666666666666,157.77611940298507,162.85185185185185,168.39423076923077,157.85714285714286,4.994708994708986,0.0029660288740677777,0.04940319819140419,0.2696206483853142
HNL,dep,0.004982990752719084,0.011730205278592375,0.0038689121529358215,0.011763362265874829,0.0014479638009049773,0.11975730726633602,0.16693787690246004,0.12542837559972583,0.12319426788397088,0.10096066702918252,0.25595323654832064,0.6865008040866521,0.2177969959035048,0.5246687985381453,0.5735746606334842,158.11363636363637,157.77611940298507,162.74074074074073,168.3846153846154,157.85714285714286,4.883597883597872,0.002420948352030844,0.02446770857054331,-0.3557776647299794
