airport,side,period,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,days,ops_per_day,cancel_rate,delay15_rate,nas_delay_per_scheduled_op
DCA,arr,extension_20251026_1231,25332,24691,641.0,7753.0,163693.0,67,378.089552238806,0.025303963366492974,0.3140010530152687,6.461905889783673
DCA,arr,interim_20250520_0615,10652,10420,232.0,2770.0,58666.0,27,394.51851851851853,0.021779947427713105,0.2658349328214971,5.507510326699212
DCA,arr,pre_20250101_0414,40657,38419,2238.0,11035.0,272127.0,104,390.9326923076923,0.05504587155963303,0.2872276738072308,6.693238556706103
DCA,arr,stress_20250415_0519,13964,13691,273.0,3696.0,86913.0,35,398.9714285714286,0.019550272128329993,0.2699583668103133,6.224076195932398
DCA,dep,cap_20250616_1025,51929,49872,2057.0,12640.0,208311.0,132,393.4015151515151,0.03961177761944193,0.25344882900224575,4.011457952203971
DCA,dep,extension_20251026_1231,25316,24664,652.0,7058.0,111654.0,67,377.85074626865674,0.025754463580344448,0.2861660720077846,4.410412387422974
DCA,dep,interim_20250520_0615,10657,10413,244.0,2583.0,52458.0,27,394.7037037037037,0.022895749272778456,0.2480553154710458,4.922398423571361
DCA,dep,pre_20250101_0414,40642,38367,2275.0,9684.0,140471.0,104,390.78846153846155,0.05597657595590768,0.252404410039878,3.4563013631218937
DCA,dep,stress_20250415_0519,13962,13689,273.0,3219.0,58428.0,35,398.9142857142857,0.019553072625698324,0.235152312075389,4.184787279759346
DEN,arr,cap_20250616_1025,120884,120005,879.0,29995.0,777951.0,132,915.7878787878788,0.007271433771218689,0.24994791883671513,6.435516693689818
DEN,arr,extension_20251026_1231,56471,55867,604.0,10990.0,180176.0,67,842.8507462686567,0.01069575534345062,0.19671720335797518,3.190593401923111
DEN,arr,interim_20250520_0615,24557,24332,225.0,8746.0,375554.0,27,909.5185185185185,0.009162356965427373,0.3594443531152392,15.293154701307163
DEN,arr,pre_20250101_0414,86048,85243,805.0,16278.0,259892.0,104,827.3846153846154,0.009355243584975827,0.1909599615217672,3.0203142432130905
DEN,arr,stress_20250415_0519,29715,29520,195.0,7926.0,285309.0,35,849.0,0.006562342251388188,0.2684959349593496,9.601514386673397
DEN,dep,cap_20250616_1025,120882,120065,817.0,33003.0,412529.0,132,915.7727272727273,0.006758657202892077,0.2748761087744139,3.412658625767277
DEN,dep,extension_20251026_1231,56484,55941,543.0,12473.0,148161.0,67,843.044776119403,0.009613341831315063,0.22296705457535618,2.6230613979179944
DEN,dep,interim_20250520_0615,24561,24342,219.0,8805.0,108395.0,27,909.6666666666666,0.00891657505801881,0.3617204831156027,4.413297504173283
