airport,side,period,days,scheduled_ops,nas_delay_minutes,ops_per_day,nas_min_per_day,nas_min_per_op
BWI,arr,interim_20250520_0615,27,7534,25423.0,279.037037037037,941.5925925925926,3.374435890629148
BWI,arr,pre_20250101_0414,104,25354,52828.0,243.78846153846155,507.96153846153845,2.0836159974757433
BWI,arr,stress_20250415_0519,35,9523,26062.0,272.0857142857143,744.6285714285714,2.7367426231229652
BWI,dep,cap_20250616_1025,132,36516,125526.0,276.6363636363636,950.9545454545455,3.437561616825501
BWI,dep,extension_20251026_1231,67,17178,53197.0,256.3880597014925,793.9850746268656,3.0968098730934916
BWI,dep,interim_20250520_0615,27,7530,37500.0,278.8888888888889,1388.888888888889,4.9800796812749
BWI,dep,pre_20250101_0414,104,25358,74550.0,243.82692307692307,716.8269230769231,2.9399006230775298
BWI,dep,stress_20250415_0519,35,9518,30694.0,271.9428571428571,876.9714285714285,3.224837150661904
DCA,arr,cap_20250616_1025,132,51949,283794.0,393.5530303030303,2149.9545454545455,5.462934801439873
DCA,arr,extension_20251026_1231,67,25332,163693.0,378.089552238806,2443.179104477612,6.461905889783673
DCA,arr,interim_20250520_0615,27,10652,58666.0,394.51851851851853,2172.814814814815,5.507510326699212
DCA,arr,pre_20250101_0414,104,40657,272127.0,390.9326923076923,2616.605769230769,6.693238556706103
DCA,arr,stress_20250415_0519,35,13964,86913.0,398.9714285714286,2483.2285714285713,6.224076195932398
DCA,dep,cap_20250616_1025,132,51929,208311.0,393.4015151515151,1578.1136363636363,4.011457952203971
DCA,dep,extension_20251026_1231,67,25316,111654.0,377.85074626865674,1666.4776119402984,4.410412387422974
DCA,dep,interim_20250520_0615,27,10657,52458.0,394.7037037037037,1942.888888888889,4.922398423571361
DCA,dep,pre_20250101_0414,104,40642,140471.0,390.78846153846155,1350.6826923076924,3.4563013631218937
DCA,dep,stress_20250415_0519,35,13962,58428.0,398.9142857142857,1669.3714285714286,4.184787279759346
EWR,arr,cap_20250616_1025,132,44220,595741.0,335.0,4513.189393939394,13.472207146087744
EWR,arr,extension_20251026_1231,67,23236,273238.0,346.8059701492537,4078.179104477612,11.759252883456705
EWR,arr,interim_20250520_0615,27,7459,78223.0,276.25925925925924,2897.1481481481483,10.487062608928811
EWR,arr,pre_20250101_0414,104,34773,173879.0,334.3557692307692,1671.9134615384614,5.00040261122135
EWR,arr,stress_20250415_0519,35,10656,432617.0,304.45714285714286,12360.485714285714,40.598442192192195
