airport,side,period,days,operated_ops,taxi_min_sum,extra_taxi_sum,nas_delay_minutes,taxi_min_per_day,extra_taxi_per_day,taxi_min_per_op,extra_taxi_per_op
IAD,arr,stress_20250415_0519,35,6016,50270.0,26409.0,18952.0,1436.2857142857142,754.5428571428571,8.356050531914894,4.389793882978723
IAD,dep,cap_20250616_1025,132,21540,471761.0,195504.0,82193.0,3573.9469696969695,1481.090909090909,21.90162488393686,9.07632311977716
IAD,dep,extension_20251026_1231,67,10094,219248.0,89805.0,46694.0,3272.3582089552237,1340.3731343283582,21.72062611452348,8.896869427382603
IAD,dep,interim_20250520_0615,27,4777,111167.0,49880.0,27515.0,4117.2962962962965,1847.4074074074074,23.27129997906636,10.441699811597237
IAD,dep,pre_20250101_0414,104,14513,313232.0,127858.0,59390.0,3011.846153846154,1229.4038461538462,21.582856749121476,8.809894577275546
IAD,dep,stress_20250415_0519,35,6010,147489.0,70218.0,35405.0,4213.971428571429,2006.2285714285715,24.540599001663892,11.68352745424293
JFK,arr,cap_20250616_1025,132,37600,453469.0,267907.0,266322.0,3435.371212121212,2029.5984848484848,12.06034574468085,7.125186170212766
JFK,arr,extension_20251026_1231,67,18483,197942.0,106533.0,97638.0,2954.3582089552237,1590.044776119403,10.709408645782611,5.763837039441649
JFK,arr,interim_20250520_0615,27,7868,102172.0,63260.0,40490.0,3784.1481481481483,2342.962962962963,12.98576512455516,8.040162684290799
JFK,arr,pre_20250101_0414,104,28496,299444.0,158568.0,117544.0,2879.269230769231,1524.6923076923076,10.50828186412128,5.56457046603032
JFK,arr,stress_20250415_0519,35,10101,116482.0,66702.0,76206.0,3328.057142857143,1905.7714285714285,11.531729531729532,6.603504603504604
JFK,dep,cap_20250616_1025,132,37665,1171261.0,610377.0,219764.0,8873.189393939394,4624.068181818182,31.096800743395725,16.205416168857028
JFK,dep,extension_20251026_1231,67,18487,501215.0,226948.0,118649.0,7480.820895522388,3387.283582089552,27.11175420565803,12.276085898198735
JFK,dep,interim_20250520_0615,27,7871,239975.0,122797.0,44415.0,8887.962962962964,4548.037037037037,30.488502096302884,15.601194257400584
JFK,dep,pre_20250101_0414,104,28506,726430.0,304147.0,144534.0,6984.903846153846,2924.4903846153848,25.48340700203466,10.669578334385744
JFK,dep,stress_20250415_0519,35,10115,316406.0,165576.0,54846.0,9040.171428571428,4730.742857142857,31.280869995056847,16.369352446861097
LGA,arr,cap_20250616_1025,132,48044,399347.0,208693.0,377657.0,3025.3560606060605,1581.0075757575758,8.312109732744984,4.343789026725502
LGA,arr,extension_20251026_1231,67,24244,209108.0,112839.0,293792.0,3121.0149253731342,1684.1641791044776,8.625144365616235,4.654306220095694
LGA,arr,interim_20250520_0615,27,9903,81478.0,42138.0,36858.0,3017.703703703704,1560.6666666666667,8.22760779561749,4.255074219933354
LGA,arr,pre_20250101_0414,104,36643,282991.0,137658.0,169884.0,2721.0673076923076,1323.6346153846155,7.722921158202112,3.7567338918756654
LGA,arr,stress_20250415_0519,35,12854,105869.0,54836.0,124705.0,3024.8285714285716,1566.7428571428572,8.236268865722732,4.26606503812043
LGA,dep,cap_20250616_1025,132,47986,1281397.0,661425.0,308767.0,9707.55303030303,5010.795454545455,26.70355937148335,13.783707748093194
LGA,dep,extension_20251026_1231,67,24222,686935.0,374864.0,209496.0,10252.76119402985,5594.985074626866,28.359962018000164,15.476178680538354
LGA,dep,interim_20250520_0615,27,9901,249398.0,121737.0,61655.0,9236.962962962964,4508.777777777777,25.189172810827188,12.295424704575295
LGA,dep,pre_20250101_0414,104,36618,857978.0,386833.0,165967.0,8249.788461538461,3719.548076923077,23.430498661860288,10.56401223442023
LGA,dep,stress_20250415_0519,35,12875,327739.0,161675.0,72908.0,9363.971428571429,4619.285714285715,25.45545631067961,12.557281553398058
ORD,arr,cap_20250616_1025,132,127718,2709234.0,1574874.0,781346.0,20524.5,11930.863636363636,21.21262468876744,12.33086957202587
ORD,arr,extension_20251026_1231,67,59832,1224137.0,691516.0,548383.0,18270.701492537315,10321.134328358208,20.459570129696484,11.557628025137051
ORD,arr,interim_20250520_0615,27,25408,489252.0,264212.0,109225.0,18120.444444444445,9785.62962962963,19.255824937027707,10.398772040302267
ORD,arr,pre_20250101_0414,104,77129,1202449.0,530402.0,347257.0,11562.009615384615,5100.0192307692305,15.590102296153198,6.876816761529386
ORD,arr,stress_20250415_0519,35,30899,552930.0,280264.0,87069.0,15798.0,8007.542857142857,17.894753875529954,9.070325900514579
ORD,dep,cap_20250616_1025,132,127868,3351199.0,1576074.0,489393.0,25387.871212121212,11939.954545454546,26.20826946538618,12.325789095004223
ORD,dep,extension_20251026_1231,67,59920,1737563.0,908036.0,381713.0,25933.776119402984,13552.776119402984,28.998047396528705,15.154138851802402
ORD,dep,interim_20250520_0615,27,25440,638883.0,285702.0,80728.0,23662.333333333332,10581.555555555555,25.113325471698115,11.230424528301887
ORD,dep,pre_20250101_0414,104,77239,1868715.0,805317.0,293470.0,17968.41346153846,7743.432692307692,24.19393052732428,10.426300185139631
ORD,dep,stress_20250415_0519,35,30905,760205.0,331546.0,113391.0,21720.14285714286,9472.742857142857,24.598123281022488,10.72790810548455
PHL,arr,cap_20250616_1025,132,37349,334482.0,187153.0,161753.0,2533.9545454545455,1417.8257575757575,8.955581140057298,5.010923987255349
PHL,arr,extension_20251026_1231,67,16397,125267.0,61022.0,38373.0,1869.6567164179105,910.776119402985,7.639629200463499,3.7215344270293347
PHL,arr,interim_20250520_0615,27,7683,60622.0,30514.0,26112.0,2245.259259259259,1130.148148148148,7.890407392945464,3.9716256670571393
PHL,arr,pre_20250101_0414,104,24143,180666.0,86299.0,64806.0,1737.173076923077,829.7980769230769,7.483162821521766,3.5744936420494553
PHL,arr,stress_20250415_0519,35,9904,75458.0,36684.0,42784.0,2155.942857142857,1048.1142857142856,7.61894184168013,3.7039579967689824
PHL,dep,cap_20250616_1025,132,37357,855670.0,411853.0,165852.0,6482.348484848485,3120.098484848485,22.905211874615198,11.024787857697353
PHL,dep,extension_20251026_1231,67,16389,355683.0,161560.0,90692.0,5308.701492537313,2411.3432835820895,21.702544389529564,9.857831472329002
PHL,dep,interim_20250520_0615,27,7690,174366.0,83049.0,43852.0,6458.0,3075.8888888888887,22.67438231469441,10.799609882964889
PHL,dep,pre_20250101_0414,104,24139,503236.0,217737.0,113097.0,4838.807692307692,2093.625,20.84742532830689,9.020133394092547
PHL,dep,stress_20250415_0519,35,9905,221409.0,103769.0,48068.0,6325.971428571429,2964.8285714285716,22.353255931347803,10.476426047450783
