airport,side,period,days,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,weather_delay_minutes,ops_per_day,cancel_rate,delay15_rate,nas_delay_per_scheduled_op,weather_delay_per_scheduled_op
EWR,arr,cap_20250616_1025,132,44220,43039,1181.0,12039.0,595741.0,61810.0,335.0,0.02670737222976029,0.2797230418922373,13.472207146087744,1.3977838082315694
EWR,arr,extension_20251026_1231,67,23236,22420,816.0,6394.0,273238.0,11970.0,346.8059701492537,0.03511792046823894,0.2851917930419269,11.759252883456705,0.5151489068686521
EWR,dep,pre_20250101_0414,104,34771,34332,439.0,6227.0,135533.0,13863.0,334.33653846153845,0.012625463748526071,0.18137597576604916,3.8978746656696672,0.3986943142273734
EWR,dep,stress_20250415_0519,35,10663,10092,571.0,3193.0,95542.0,3004.0,304.65714285714284,0.0535496576948326,0.3163892191835117,8.960142549001219,0.2817218418831473
EWR,dep,interim_20250520_0615,27,7457,7427,30.0,1319.0,40275.0,3199.0,276.18518518518516,0.004023065575968888,0.1775952605358826,5.400965535738233,0.42899289258414913
EWR,dep,cap_20250616_1025,132,44225,43060,1165.0,9982.0,248185.0,71813.0,335.0378787878788,0.02634256642170718,0.23181607059916395,5.611871113623516,1.6238100621820237
EWR,dep,extension_20251026_1231,67,23170,22347,823.0,5547.0,151439.0,21815.0,345.82089552238807,0.03552006905481226,0.24822123775003357,6.535994820889081,0.9415192058696591
IAD,arr,pre_20250101_0414,104,14707,14519,188.0,2423.0,32288.0,7664.0,141.41346153846155,0.012783028489834772,0.16688477167849025,2.1954171482967295,0.5211123954579452
IAD,arr,stress_20250415_0519,35,6045,6016,29.0,1176.0,18952.0,3042.0,172.71428571428572,0.004797353184449959,0.19547872340425532,3.1351530190239867,0.5032258064516129
IAD,arr,interim_20250520_0615,27,4802,4774,28.0,877.0,13001.0,4502.0,177.85185185185185,0.0058309037900874635,0.18370339338081274,2.7074135776759682,0.9375260308204915
IAD,arr,cap_20250616_1025,132,21792,21524,268.0,4313.0,76390.0,20147.0,165.0909090909091,0.012298091042584435,0.2003809700799108,3.50541483113069,0.9245135829662261
IAD,arr,extension_20251026_1231,67,10134,10034,100.0,1892.0,27382.0,5202.0,151.2537313432836,0.009867771857114663,0.188558899740881,2.701993289915137,0.5133214920071048
