airport,side,period,hour_group,hours,avg_ops_per_hour,p90_ops_per_hour,p95_ops_per_hour,max_ops_per_hour,share_above_28,share_above_34,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,cancel_rate,delay15_rate,nas_delay_per_scheduled_op
LAS,dep,reference,Other hours,196,6.4438775510204085,21.0,22.0,26,0.0,0.0,1263,1254.0,9.0,204.0,2442.0,0.007125890736342043,0.16267942583732056,1.9334916864608076
LAS,dep,stress,Facilitated hours,595,29.225210084033613,40.0,44.0,54,0.5260504201680672,0.30084033613445377,17389,17317.0,72.0,3763.0,53430.0,0.004140548622692507,0.21730091817289368,3.0726321237563976
LAS,dep,stress,Other hours,245,6.106122448979592,20.0,21.799999999999983,25,0.0,0.0,1496,1488.0,8.0,240.0,1544.0,0.0053475935828877,0.16129032258064516,1.032085561497326
LAX,arr,early_interim,Facilitated hours,238,29.27310924369748,42.0,44.0,48,0.5462184873949579,0.2689075630252101,6967,6951.0,16.0,1131.0,8929.0,0.002296540835366729,0.16271040138109624,1.2816133199368451
LAX,arr,early_interim,Other hours,98,5.377551020408164,18.299999999999997,24.14999999999999,26,0.0,0.0,527,526.0,1.0,120.0,1813.0,0.0018975332068311196,0.22813688212927757,3.44022770398482
LAX,arr,late_interim,Facilitated hours,221,29.488687782805428,42.0,43.0,47,0.5294117647058824,0.3076923076923077,6517,6489.0,28.0,1390.0,15982.0,0.004296455424274973,0.21420866081060255,2.4523553782415224
LAX,arr,late_interim,Other hours,91,6.615384615384615,24.0,30.5,32,0.08791208791208792,0.0,602,593.0,9.0,213.0,1571.0,0.014950166112956811,0.3591905564924115,2.6096345514950166
LAX,arr,reference,Facilitated hours,476,28.936974789915965,41.0,43.0,47,0.5189075630252101,0.22478991596638656,13774,13726.0,48.0,1958.0,17445.0,0.0034848264846812837,0.14264898732332798,1.266516625526354
LAX,arr,reference,Other hours,196,4.989795918367347,20.0,23.0,27,0.0,0.0,978,970.0,8.0,202.0,1688.0,0.0081799591002045,0.20824742268041238,1.7259713701431494
LAX,arr,stress,Facilitated hours,595,29.09579831932773,42.0,45.0,51,0.5176470588235295,0.22857142857142856,17312,17267.0,45.0,2794.0,27836.0,0.0025993530499075785,0.16181154803961315,1.607902033271719
LAX,arr,stress,Other hours,245,5.1387755102040815,19.599999999999994,24.0,28,0.0,0.0,1259,1246.0,13.0,379.0,2529.0,0.010325655281969817,0.3041733547351525,2.0087370929308976
LAX,dep,early_interim,Facilitated hours,238,29.277310924369747,44.30000000000001,47.0,50,0.5084033613445378,0.15546218487394958,6968,6946.0,22.0,1176.0,17853.0,0.0031572904707233064,0.16930607543910164,2.562141216991963
LAX,dep,early_interim,Other hours,98,5.336734693877551,18.0,21.0,21,0.0,0.0,523,523.0,0.0,74.0,394.0,0.0,0.14149139579349904,0.7533460803059273
LAX,dep,late_interim,Facilitated hours,221,29.846153846153847,41.0,45.0,51,0.5520361990950227,0.27149321266968324,6596,6571.0,25.0,1425.0,18159.0,0.003790175864160097,0.2168619692588647,2.753032140691328
LAX,dep,late_interim,Other hours,91,5.747252747252747,19.0,19.0,21,0.0,0.0,523,515.0,8.0,98.0,443.0,0.015296367112810707,0.19029126213592232,0.847036328871893
LAX,dep,reference,Facilitated hours,476,28.665966386554622,41.5,47.0,56,0.4222689075630252,0.15126050420168066,13645,13601.0,44.0,2021.0,25375.0,0.003224624404543789,0.14859201529299315,1.85965555148406
LAX,dep,reference,Other hours,196,5.63265306122449,20.0,22.0,24,0.0,0.0,1104,1100.0,4.0,120.0,2411.0,0.0036231884057971015,0.10909090909090909,2.183876811594203
LAX,dep,stress,Facilitated hours,595,29.121008403361344,42.60000000000002,47.0,56,0.43529411764705883,0.18487394957983194,17327,17277.0,50.0,2880.0,62276.0,0.002885669763952213,0.16669560687619378,3.594159404397761
LAX,dep,stress,Other hours,245,5.077551020408163,19.0,20.799999999999983,25,0.0,0.0,1244,1238.0,6.0,151.0,1587.0,0.00482315112540193,0.12197092084006463,1.2757234726688103
LGA,arr,early_interim,Facilitated hours,238,20.432773109243698,28.0,29.0,30,0.08403361344537816,0.0,4863,4854.0,9.0,836.0,11698.0,0.001850709438618137,0.17222908941079523,2.4055110014394407
