side,counterpart,period,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,days,ops_per_day,cancelled_ops_per_day,delay15_ops_per_day,nas_delay_minutes_per_day,cancel_rate,delay15_rate,nas_delay_per_scheduled_op
arr,PSP,extension_20251026_1231,14,14,0.0,4.0,96.0,67,0.208955223880597,0.0,0.05970149253731343,1.4328358208955223,0.0,0.2857142857142857,6.857142857142857
arr,PVD,pre_20250101_0414,11,11,0.0,2.0,90.0,104,0.10576923076923077,0.0,0.019230769230769232,0.8653846153846154,0.0,0.18181818181818182,8.181818181818182
arr,PWM,cap_20250616_1025,518,495,23.0,97.0,4410.0,132,3.9242424242424243,0.17424242424242425,0.7348484848484849,33.40909090909091,0.0444015444015444,0.19595959595959597,8.513513513513514
arr,PWM,extension_20251026_1231,176,169,7.0,32.0,1621.0,67,2.626865671641791,0.1044776119402985,0.47761194029850745,24.19402985074627,0.03977272727272727,0.1893491124260355,9.210227272727273
arr,PWM,interim_20250520_0615,53,53,0.0,8.0,314.0,27,1.962962962962963,0.0,0.2962962962962963,11.62962962962963,0.0,0.1509433962264151,5.9245283018867925
arr,PWM,pre_20250101_0414,216,214,2.0,32.0,1752.0,104,2.076923076923077,0.019230769230769232,0.3076923076923077,16.846153846153847,0.009259259259259259,0.14953271028037382,8.11111111111111
arr,PWM,stress_20250415_0519,44,39,5.0,6.0,247.0,35,1.2571428571428571,0.14285714285714285,0.17142857142857143,7.057142857142857,0.11363636363636363,0.15384615384615385,5.613636363636363
arr,RDU,cap_20250616_1025,649,623,26.0,213.0,15914.0,132,4.916666666666667,0.19696969696969696,1.6136363636363635,120.56060606060606,0.040061633281972264,0.3418940609951846,24.52080123266564
arr,RDU,extension_20251026_1231,408,391,17.0,135.0,8735.0,67,6.08955223880597,0.2537313432835821,2.014925373134328,130.37313432835822,0.041666666666666664,0.3452685421994885,21.409313725490197
arr,RDU,interim_20250520_0615,136,136,0.0,51.0,3567.0,27,5.037037037037037,0.0,1.8888888888888888,132.11111111111111,0.0,0.375,26.227941176470587
arr,RDU,pre_20250101_0414,497,485,12.0,108.0,3793.0,104,4.778846153846154,0.11538461538461539,1.0384615384615385,36.47115384615385,0.02414486921529175,0.22268041237113403,7.631790744466801
arr,RDU,stress_20250415_0519,158,141,17.0,70.0,8510.0,35,4.514285714285714,0.4857142857142857,2.0,243.14285714285714,0.10759493670886076,0.49645390070921985,53.860759493670884
arr,RIC,cap_20250616_1025,168,149,19.0,65.0,4251.0,132,1.2727272727272727,0.14393939393939395,0.49242424242424243,32.20454545454545,0.1130952380952381,0.436241610738255,25.303571428571427
arr,RIC,extension_20251026_1231,98,87,11.0,34.0,1221.0,67,1.462686567164179,0.16417910447761194,0.5074626865671642,18.223880597014926,0.11224489795918367,0.39080459770114945,12.459183673469388
arr,RIC,interim_20250520_0615,22,22,0.0,9.0,976.0,27,0.8148148148148148,0.0,0.3333333333333333,36.148148148148145,0.0,0.4090909090909091,44.36363636363637
arr,RIC,pre_20250101_0414,57,52,5.0,22.0,660.0,104,0.5480769230769231,0.04807692307692308,0.21153846153846154,6.346153846153846,0.08771929824561403,0.4230769230769231,11.578947368421053
arr,RIC,stress_20250415_0519,35,26,9.0,21.0,3276.0,35,1.0,0.2571428571428571,0.6,93.6,0.2571428571428571,0.8076923076923077,93.6
arr,RNO,cap_20250616_1025,3,3,0.0,0.0,0.0,132,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0
arr,ROC,cap_20250616_1025,183,170,13.0,34.0,758.0,132,1.3863636363636365,0.09848484848484848,0.25757575757575757,5.742424242424242,0.07103825136612021,0.2,4.14207650273224
arr,ROC,extension_20251026_1231,82,75,7.0,21.0,842.0,67,1.2238805970149254,0.1044776119402985,0.31343283582089554,12.567164179104477,0.08536585365853659,0.28,10.268292682926829
arr,ROC,interim_20250520_0615,34,34,0.0,3.0,296.0,27,1.2592592592592593,0.0,0.1111111111111111,10.962962962962964,0.0,0.08823529411764706,8.705882352941176
arr,ROC,pre_20250101_0414,106,105,1.0,18.0,296.0,104,1.0192307692307692,0.009615384615384616,0.17307692307692307,2.8461538461538463,0.009433962264150943,0.17142857142857143,2.792452830188679
arr,ROC,stress_20250415_0519,36,35,1.0,3.0,65.0,35,1.0285714285714285,0.02857142857142857,0.08571428571428572,1.8571428571428572,0.027777777777777776,0.08571428571428572,1.8055555555555556
arr,RSW,cap_20250616_1025,543,539,4.0,130.0,7020.0,132,4.113636363636363,0.030303030303030304,0.9848484848484849,53.18181818181818,0.007366482504604052,0.24118738404452691,12.92817679558011
arr,RSW,extension_20251026_1231,453,441,12.0,101.0,4851.0,67,6.7611940298507465,0.1791044776119403,1.507462686567164,72.40298507462687,0.026490066225165563,0.2290249433106576,10.708609271523178
arr,RSW,interim_20250520_0615,102,102,0.0,23.0,1112.0,27,3.7777777777777777,0.0,0.8518518518518519,41.18518518518518,0.0,0.22549019607843138,10.901960784313726
arr,RSW,pre_20250101_0414,750,744,6.0,139.0,4177.0,104,7.211538461538462,0.057692307692307696,1.3365384615384615,40.16346153846154,0.008,0.1868279569892473,5.569333333333334
arr,RSW,stress_20250415_0519,236,227,9.0,94.0,8902.0,35,6.742857142857143,0.2571428571428571,2.6857142857142855,254.34285714285716,0.038135593220338986,0.41409691629955947,37.720338983050844
arr,SAN,cap_20250616_1025,648,632,16.0,113.0,4146.0,132,4.909090909090909,0.12121212121212122,0.8560606060606061,31.40909090909091,0.024691358024691357,0.1787974683544304,6.398148148148148
arr,SAN,extension_20251026_1231,266,262,4.0,60.0,3691.0,67,3.970149253731343,0.05970149253731343,0.8955223880597015,55.08955223880597,0.015037593984962405,0.22900763358778625,13.87593984962406
arr,SAN,interim_20250520_0615,109,109,0.0,15.0,794.0,27,4.037037037037037,0.0,0.5555555555555556,29.40740740740741,0.0,0.13761467889908258,7.284403669724771
arr,SAN,pre_20250101_0414,378,376,2.0,72.0,1785.0,104,3.6346153846153846,0.019230769230769232,0.6923076923076923,17.16346153846154,0.005291005291005291,0.19148936170212766,4.722222222222222
arr,SAN,stress_20250415_0519,151,147,4.0,60.0,7648.0,35,4.314285714285714,0.11428571428571428,1.7142857142857142,218.5142857142857,0.026490066225165563,0.40816326530612246,50.64900662251656
arr,SAT,cap_20250616_1025,161,160,1.0,26.0,1284.0,132,1.2196969696969697,0.007575757575757576,0.19696969696969696,9.727272727272727,0.006211180124223602,0.1625,7.975155279503106
arr,SAT,extension_20251026_1231,126,126,0.0,24.0,1535.0,67,1.8805970149253732,0.0,0.3582089552238806,22.91044776119403,0.0,0.19047619047619047,12.182539682539682
arr,SAT,interim_20250520_0615,34,34,0.0,11.0,521.0,27,1.2592592592592593,0.0,0.4074074074074074,19.296296296296298,0.0,0.3235294117647059,15.323529411764707
arr,SAT,pre_20250101_0414,148,146,2.0,22.0,585.0,104,1.4230769230769231,0.019230769230769232,0.21153846153846154,5.625,0.013513513513513514,0.1506849315068493,3.9527027027027026
arr,SAT,stress_20250415_0519,39,39,0.0,9.0,559.0,35,1.1142857142857143,0.0,0.2571428571428571,15.971428571428572,0.0,0.23076923076923078,14.333333333333334
arr,SAV,cap_20250616_1025,384,375,9.0,101.0,8591.0,132,2.909090909090909,0.06818181818181818,0.7651515151515151,65.08333333333333,0.0234375,0.2693333333333333,22.372395833333332
arr,SAV,extension_20251026_1231,241,233,8.0,55.0,4395.0,67,3.5970149253731343,0.11940298507462686,0.8208955223880597,65.59701492537313,0.03319502074688797,0.23605150214592274,18.236514522821576
arr,SAV,interim_20250520_0615,53,53,0.0,8.0,668.0,27,1.962962962962963,0.0,0.2962962962962963,24.74074074074074,0.0,0.1509433962264151,12.60377358490566
arr,SAV,pre_20250101_0414,282,274,8.0,41.0,1472.0,104,2.7115384615384617,0.07692307692307693,0.3942307692307692,14.153846153846153,0.028368794326241134,0.14963503649635038,5.219858156028369
arr,SAV,stress_20250415_0519,62,58,4.0,19.0,1171.0,35,1.7714285714285714,0.11428571428571428,0.5428571428571428,33.457142857142856,0.06451612903225806,0.3275862068965517,18.887096774193548
arr,SBN,cap_20250616_1025,5,5,0.0,0.0,0.0,132,0.03787878787878788,0.0,0.0,0.0,0.0,0.0,0.0
arr,SBN,extension_20251026_1231,2,2,0.0,1.0,2.0,67,0.029850746268656716,0.0,0.014925373134328358,0.029850746268656716,0.0,0.5,1.0
arr,SDF,cap_20250616_1025,312,303,9.0,42.0,2421.0,132,2.3636363636363638,0.06818181818181818,0.3181818181818182,18.34090909090909,0.028846153846153848,0.13861386138613863,7.759615384615385
arr,SDF,extension_20251026_1231,179,169,10.0,43.0,1620.0,67,2.671641791044776,0.14925373134328357,0.6417910447761194,24.17910447761194,0.055865921787709494,0.25443786982248523,9.050279329608939
arr,SDF,interim_20250520_0615,61,60,1.0,7.0,539.0,27,2.259259259259259,0.037037037037037035,0.25925925925925924,19.962962962962962,0.01639344262295082,0.11666666666666667,8.836065573770492
arr,SDF,pre_20250101_0414,283,275,8.0,33.0,1182.0,104,2.7211538461538463,0.07692307692307693,0.3173076923076923,11.365384615384615,0.028268551236749116,0.12,4.176678445229682
arr,SDF,stress_20250415_0519,66,56,10.0,22.0,2221.0,35,1.8857142857142857,0.2857142857142857,0.6285714285714286,63.457142857142856,0.15151515151515152,0.39285714285714285,33.65151515151515
arr,SEA,cap_20250616_1025,938,927,11.0,239.0,8913.0,132,7.106060606060606,0.08333333333333333,1.8106060606060606,67.52272727272727,0.011727078891257996,0.25782092772384035,9.502132196162046
arr,SEA,extension_20251026_1231,386,375,11.0,67.0,2620.0,67,5.7611940298507465,0.16417910447761194,1.0,39.1044776119403,0.02849740932642487,0.17866666666666667,6.787564766839378
arr,SEA,interim_20250520_0615,133,132,1.0,42.0,1629.0,27,4.925925925925926,0.037037037037037035,1.5555555555555556,60.333333333333336,0.007518796992481203,0.3181818181818182,12.24812030075188
arr,SEA,pre_20250101_0414,411,411,0.0,60.0,930.0,104,3.951923076923077,0.0,0.5769230769230769,8.942307692307692,0.0,0.145985401459854,2.2627737226277373
arr,SEA,stress_20250415_0519,139,137,2.0,60.0,5538.0,35,3.9714285714285715,0.05714285714285714,1.7142857142857142,158.22857142857143,0.014388489208633094,0.43795620437956206,39.84172661870504
arr,SFO,cap_20250616_1025,1648,1611,37.0,452.0,12788.0,132,12.484848484848484,0.2803030303030303,3.4242424242424243,96.87878787878788,0.022451456310679612,0.28057107386716323,7.759708737864078
arr,SFO,extension_20251026_1231,789,780,9.0,221.0,6198.0,67,11.776119402985074,0.13432835820895522,3.298507462686567,92.50746268656717,0.011406844106463879,0.2833333333333333,7.855513307984791
arr,SFO,interim_20250520_0615,347,341,6.0,83.0,2326.0,27,12.851851851851851,0.2222222222222222,3.074074074074074,86.14814814814815,0.01729106628242075,0.2434017595307918,6.703170028818444
arr,SFO,pre_20250101_0414,1147,1146,1.0,177.0,2855.0,104,11.028846153846153,0.009615384615384616,1.7019230769230769,27.451923076923077,0.0008718395815170009,0.1544502617801047,2.4891020052310373
arr,SFO,stress_20250415_0519,474,458,16.0,196.0,18244.0,35,13.542857142857143,0.45714285714285713,5.6,521.2571428571429,0.03375527426160337,0.4279475982532751,38.48945147679325
arr,SJU,cap_20250616_1025,750,732,18.0,228.0,3084.0,132,5.681818181818182,0.13636363636363635,1.7272727272727273,23.363636363636363,0.024,0.3114754098360656,4.112
